Number of bedrooms,Number of bathrooms,Living area sqft,Number of schools nearby,Distance from the airport,Price
3,2.5,2420,1,54,752888
2,2.25,1890,2,72,750000
3,2,2230,3,76,736500
4,1.75,1930,3,76,733000
4,2.5,2760,2,54,686000
3,2.25,2730,3,65,678000
3,1.75,2020,2,74,677500
2,1.5,1750,3,60,661000
4,2.5,2320,3,60,640000
4,3.25,2690,3,55,635000
2,1,1100,3,73,625000
4,2.5,3190,1,73,625000
3,1.75,2240,2,61,625000
5,3.5,3240,3,61,612995
4,2.5,2100,1,55,610000
3,2.5,4930,2,65,600000
4,2.5,2370,3,73,600000
4,2.5,2600,2,51,600000
2,1.75,1550,3,72,600000
4,2.5,2640,3,51,599000
4,1.75,1930,2,63,588000
5,2,2560,3,56,585000
3,1.75,1930,1,57,583000
3,2,2730,3,75,565000
3,2.5,1650,2,61,500000
2,2,1540,3,80,495000
3,2.25,2230,2,57,491500
4,1,2590,3,50,470000
2,1,1250,1,51,463000
3,2,1320,1,80,462600
2,1.5,910,1,55,455000
3,1.75,2040,3,63,452500
4,2.5,2070,3,72,449950
3,2.5,1810,1,54,449000
4,2.5,2790,1,64,445000
3,2.5,1430,2,51,443600
2,1.5,1210,1,69,437500
4,2,1600,1,51,436000
4,3.25,3310,2,62,429900
4,2.5,2270,2,69,425000
3,2,2080,2,59,424240
2,2.5,1470,1,52,419000
3,1,1000,3,51,412000
2,1.75,1250,3,72,400000
3,3,2090,1,54,400000
4,2.5,3200,2,73,399950
3,1.75,1740,3,53,395000
3,2.5,1370,2,56,394000
3,2.25,2110,1,70,385000
3,1,1380,3,51,380000
3,1.5,1240,3,52,375000
4,2,2070,1,79,375000
2,1.5,1110,3,69,371000
4,2,1770,2,58,355000
3,1.75,1780,3,58,354950
3,1,1200,1,80,345000
4,2,1910,1,59,335000
3,1,890,2,73,328000
2,1,900,1,53,325000
1,1,1220,2,62,325000
4,2.5,2641,1,63,324950
3,1,1010,3,51,315000
3,2.5,1590,3,57,310000
4,2.5,2010,3,57,299500
3,2,2110,3,56,285000
3,2.25,1940,1,67,283748
3,2.25,1260,3,64,282000
3,1,1280,1,51,279900
4,2.75,2060,1,61,275000
3,2.25,1660,3,79,269950
4,1,1610,2,58,269000
3,1,940,1,80,267000
3,2,1320,3,55,265000
3,2.5,1640,1,56,265000
4,2.5,1990,3,80,264950
3,2.25,1570,3,80,252000
3,2.25,1960,1,76,250000
3,1,1640,3,70,250000
2,1,1130,1,66,239000
2,1,1010,1,57,235000
3,1,970,2,52,226000
3,1.5,1440,3,54,224000
4,1.75,1660,1,50,220000
3,2,1800,2,57,205000
2,1,770,2,73,203700
2,1,930,3,77,200000
2,1,820,1,71,185000
3,2.5,1660,1,66,165000
4,2.25,2860,3,77,1300000
4,2.5,2650,1,58,728000
4,3,2190,3,69,625000
3,1.75,1670,2,72,620000
3,3,2330,2,51,453000
4,2.5,2245,2,51,362865
2,2,1340,2,51,230000
3,1.75,1760,3,57,410000
4,2.5,1820,1,75,325000
3,3,3920,1,58,3100000
3,2,3570,2,51,2200000
4,4,4920,3,63,1410000
5,2.75,2410,3,56,1320000
4,4,4320,2,73,1050000
4,3.25,3320,2,74,1000000
5,3,3350,1,54,1000000
4,1.5,3120,3,73,976000
4,2.5,3780,3,66,962800
3,2.5,3140,2,59,915000
3,2.25,2180,1,52,910000
3,2.5,2850,3,66,900000
3,2,2520,1,75,861000
5,3.5,3150,2,71,850000
4,2.75,4010,3,64,849000
4,2.5,2120,3,58,828000
4,2.5,3170,2,56,820000
4,2.5,2840,2,70,814000
2,2.5,2510,2,57,811000
4,1.5,2220,3,79,785000
3,1.75,1640,3,56,775000
4,2.25,2360,1,80,752500
4,2.75,3280,3,72,734500
4,3,3150,1,66,727000
3,1.75,2430,3,71,710000
4,2.5,2630,3,80,710000
3,3,2260,3,76,660000
3,2.5,2560,3,63,619000
4,2,2140,3,67,615750
2,1,1390,1,50,608000
3,2.5,2960,1,65,605000
4,2.5,2030,2,76,598000
4,2,2120,2,78,597000
5,2,3930,3,50,589000
3,1.5,1670,2,59,585000
4,3.5,1460,2,62,580000
4,1,1350,1,72,571000
3,2,1830,2,71,554000
3,1.75,1380,2,73,535000
5,1.75,2120,1,72,534000
4,2.5,2690,1,70,530000
3,2.5,2480,2,70,530000
4,2,1720,1,66,525000
3,1.75,1750,3,58,524950
2,2,1600,1,61,523500
3,2.25,1920,3,51,515000
3,2.25,1500,1,64,513000
3,2.5,2270,3,63,507250
2,1,960,1,58,500000
4,2.25,1960,3,65,500000
2,2.5,1320,1,79,499000
3,2.5,2100,3,67,477000
3,1.5,1740,1,65,472000
4,2.75,2190,1,78,465000
3,1.75,1440,2,77,460000
2,1.5,1170,1,63,459500
3,2,1430,1,50,453000
4,1.5,1620,3,68,451000
3,1.75,1360,3,73,450000
4,2.5,2300,1,57,440000
2,1.75,1210,3,80,439950
3,2,1490,1,77,438500
3,2.25,1570,3,70,425000
3,1.75,1580,2,52,402000
4,2.5,2650,1,74,397450
3,1,1090,2,56,392000
2,1,1120,2,79,380000
1,1,950,2,51,377000
3,1.5,1330,1,57,374000
4,3,2130,1,80,370000
3,2.75,2120,2,53,370000
3,2.5,2313,2,69,370000
4,2.5,1800,2,54,365000
4,1.75,3730,1,67,360000
2,2,1180,3,58,360000
3,1,1150,2,59,358000
4,2,2060,1,73,350000
4,2.5,2000,2,53,349950
3,2.5,2140,3,60,349950
3,1.75,1260,1,71,349500
4,2.5,2370,1,76,338000
3,2,2440,3,75,338000
4,2.5,2370,3,58,335000
4,2.25,2430,2,59,330000
4,2.5,2510,1,53,330000
3,1,1130,2,76,316000
4,2.5,2280,2,67,305000
3,2.5,1750,1,65,300000
2,1,860,3,63,298800
3,1.75,1500,3,78,295000
3,2.25,1500,2,58,290000
3,1.5,1310,3,72,290000
2,1.5,1020,2,51,290000
3,2.25,2200,2,54,285167
4,1.5,1930,3,72,270000
3,1.75,1480,1,67,268000
1,1,800,1,65,267000
4,2,1540,1,59,259950
4,2.5,2600,3,56,252500
3,1.5,1800,2,51,237000
3,1.5,1380,2,69,235500
3,1,1210,3,73,235000
3,1.75,1900,1,79,229950
3,2.5,1750,1,50,225000
3,1,1220,1,59,213500
3,1,1000,1,56,204000
3,1.5,1190,1,66,195000
3,1.5,1630,1,80,165000
1,0.75,480,2,71,145000
4,4,4810,2,54,3200000
3,2.75,3050,1,53,2000000
4,3,3600,2,50,1700000
4,3.25,3820,3,51,1620000
4,3.75,3880,2,62,1060000
4,3,3560,3,68,1050000
5,4.5,4130,1,53,998000
4,2.75,3140,3,54,920000
3,2.5,2040,2,73,872500
4,2.5,3370,1,59,806000
4,2.5,3160,3,63,805000
4,2,2130,2,55,800000
4,2.25,2580,1,51,787888
3,1.75,2320,1,77,779000
4,2.5,3150,2,66,762500
4,2.5,2730,2,50,756000
4,2,1960,1,51,745000
6,2.25,3140,2,78,740000
3,3.25,2960,2,67,735000
4,3.5,3490,1,54,728000
3,2,2880,2,52,660000
5,2.5,2530,3,50,657000
3,2.5,2790,3,50,650000
4,3.5,3080,1,70,637000
3,1,1360,3,54,630000
3,2,1940,3,66,627000
4,2.75,3470,1,52,598600
3,2,1530,3,57,595000
3,2.5,1750,2,59,575000
4,2.5,3230,3,50,569950
3,2.5,1940,1,77,555000
5,1,2150,3,59,550000
4,2.5,2470,2,60,550000
3,2,1560,1,52,549000
3,2,2040,1,79,535000
3,2.5,2340,2,76,525000
4,2.5,2900,1,58,520000
4,2.5,2320,2,70,518000
4,2.5,2890,1,50,515000
2,2.25,1570,3,66,500000
4,2.25,2350,1,64,500000
4,2.5,2040,1,65,500000
2,1.75,1810,3,56,489000
2,1,1030,3,53,480000
4,2.25,2520,2,57,480000
5,2.5,2080,1,57,474950
4,2.75,2150,3,71,470000
4,2,1560,2,70,459000
2,1,910,2,63,450000
3,1.75,1300,3,74,448500
3,2.75,2180,2,80,445000
4,1,1780,3,80,440000
4,3,2010,3,75,434000
2,2,1390,2,56,431000
4,1.75,1710,3,77,430000
3,1.5,1550,1,74,430000
4,2.5,2750,1,64,430000
2,1,1430,2,75,425000
3,1.5,1390,1,73,425000
2,1,820,3,60,420000
4,2.5,2480,2,60,420000
3,2.25,2020,2,64,420000
3,2.5,1570,2,55,417000
3,1.5,1260,3,68,414900
4,2.5,3490,1,71,414000
3,2,1740,2,67,410000
3,2.5,1509,3,60,401500
3,1.75,1330,2,52,400000
3,1.75,1730,2,70,400000
3,1,1470,2,50,399950
3,3,2240,2,79,399000
2,2.5,1860,2,54,380000
2,1.5,1010,3,50,370000
3,2.5,2850,2,71,364988
4,1.75,1850,2,51,352000
2,1.5,2060,1,63,348140
3,3.25,1600,1,67,345000
5,2,2130,3,57,344000
4,2.5,2520,1,71,335000
3,1,1590,2,50,325000
3,2,1820,1,55,320000
3,2.25,1358,1,59,317000
3,1.75,1870,2,66,315500
3,2.5,2370,2,61,310000
5,2.25,1980,3,70,307700
3,2,1390,1,61,297950
3,1.75,1550,1,56,294010
3,1,1010,1,50,290000
3,2.5,2110,3,64,289000
3,2.5,1610,1,51,282000
3,2.25,1760,1,57,270000
3,2,1640,3,69,269500
3,2.5,1700,1,67,268000
3,1.75,1420,2,61,265000
4,2.25,2300,2,56,265000
3,1.75,1630,1,55,265000
3,1,1790,3,51,260000
3,2,1300,2,62,257500
2,1,1610,3,64,255000
4,2,2180,1,64,254950
2,1,910,2,51,254000
3,2.25,1740,2,54,252000
3,2,1300,1,65,251000
3,2.25,1560,3,59,250000
3,2.5,2070,2,57,250000
3,1.75,1520,1,77,240000
2,1,820,2,79,235000
2,1,910,1,52,235000
2,1,2150,3,80,235000
3,1,880,1,65,230000
2,1,860,1,70,216000
4,1.75,1250,2,75,212000
3,1,1080,3,50,207000
3,1,1370,1,55,205000
2,0.75,1130,2,55,204950
2,1,600,2,64,174000
1,1,610,2,51,126000
4,3.5,4285,2,71,1650000
4,3,3050,3,77,1480000
4,3.75,3830,2,51,1250000
4,3.5,4560,1,72,1200000
4,3,3410,3,76,1090000
4,3.5,4210,2,73,1050000
3,2.5,3400,3,80,1050000
4,3.75,4133,1,52,979500
3,2.5,2830,1,67,969950
5,3.25,3250,3,55,951000
3,2,2250,2,72,950000
3,2.5,3080,1,70,950000
4,3.5,3510,3,52,935000
4,3.5,2980,3,56,905000
5,3,4350,1,71,900000
2,1,1150,3,51,825000
3,2.5,2550,1,64,808000
4,2.75,3640,2,63,780000
2,2.5,2170,3,64,765000
4,1.75,2530,3,76,720000
4,2.25,2480,2,65,716000
3,2.5,2740,3,65,699000
3,2.5,2680,3,54,699000
2,1.75,1570,3,67,695000
3,2.25,2430,1,64,690000
2,1.5,1995,2,74,645000
3,2.5,2220,2,58,641250
4,1.75,2020,2,56,640000
5,2.5,2260,1,63,632000
3,2.5,2330,3,57,625000
3,2.5,2260,2,54,622500
4,2.5,2120,3,58,599000
3,2.5,2400,3,58,592000
3,2.75,2200,1,55,572000
4,2.5,2280,2,65,565000
4,2,2560,2,80,552625
5,3.75,3090,3,54,551000
4,2.25,2390,2,65,545000
5,2.5,3100,2,71,540000
4,2,1560,3,51,537000
4,2.5,2710,2,52,535000
4,2.75,2210,3,62,516000
3,2.25,1640,3,68,515000
4,2,2100,2,59,500000
3,1.75,2130,2,66,495500
3,2.25,2100,1,62,492000
3,2.25,2550,1,69,490000
3,2.5,2120,2,74,475226
5,1.75,2030,3,71,470000
4,2,2180,3,65,470000
4,2.5,3030,2,75,465000
4,1.75,2100,2,71,457000
4,3,1890,1,53,450000
4,3,2800,1,80,449950
4,2.5,2170,3,65,445000
4,1.75,1620,2,60,442200
2,1,1120,2,53,435000
3,2,1720,2,56,427000
3,2,2330,1,56,420000
3,2,1250,3,67,418000
3,1,1220,3,71,405000
3,3.25,1770,2,71,401000
3,2.25,1350,3,53,388500
3,2.5,2370,1,72,387865
4,2.5,2270,1,75,380000
1,1,1090,1,69,375000
4,2.25,2330,2,79,375000
3,1.75,1150,3,69,370000
3,2.5,2200,3,57,365000
3,2.25,2430,3,75,365000
4,2.5,2800,3,57,365000
3,2.5,2280,2,53,364250
3,3,1850,1,80,355000
3,1.75,2040,3,60,355000
3,1.75,1360,1,52,350000
4,2,1570,1,51,342000
3,1.75,1540,2,74,340000
4,1,1360,1,60,329950
3,2.5,1780,3,72,309000
3,2.5,1590,2,63,300000
3,1,1300,3,71,300000
3,1.75,1430,2,66,284000
3,1,860,2,67,278000
3,1,1140,3,61,277000
3,2.25,2160,3,54,277000
3,1.75,1300,2,78,275000
3,1.75,1260,3,80,270000
3,2.25,1140,3,60,268500
3,2.75,1880,3,52,268000
5,2.25,2600,2,53,265000
3,1,1250,1,70,259875
3,1,1240,1,65,238000
2,1,880,2,79,235000
4,2.5,1820,1,67,234000
3,1.75,1260,1,57,230000
3,2,1320,1,76,225000
4,1,1410,1,68,225000
3,1.5,1060,1,51,212000
4,2,1710,2,72,211000
3,1,1730,3,62,210000
3,1.75,1490,2,78,203000
4,1,1470,1,67,150550
5,3.5,4330,3,73,3170000
5,4.5,6085,2,62,1610000
2,2.5,2720,1,70,1440000
6,5.25,6160,3,78,1280000
4,3.25,3850,3,66,1200000
3,2.5,2550,1,68,1100000
2,2.25,3900,2,53,1070000
2,2,1600,1,54,995000
5,3.25,4130,2,65,995000
4,2.5,2950,2,52,921800
5,2.5,2750,3,67,915000
4,2.5,3400,3,69,915000
3,2.75,3240,2,75,902000
3,2.5,3530,3,68,898000
4,2.5,4090,2,69,885000
4,3.75,3610,2,64,830005
2,2.5,2170,3,75,740000
3,2,1780,3,80,710000
2,2.5,2130,2,80,707000
2,2.5,2380,3,53,699800
4,2.5,3030,3,69,682000
5,2.5,2960,3,55,654000
3,1,1300,1,58,650000
3,2.5,2790,3,68,640000
4,2.5,2840,3,80,636230
3,2.5,2000,3,53,625000
2,1.75,1620,2,52,577000
4,2.75,2990,3,64,564950
3,1.75,1650,3,75,550000
4,2.25,2170,3,76,546800
4,1.75,1940,2,66,545000
3,1.75,1410,1,58,541000
3,2,1770,2,55,514000
3,2.25,2210,3,65,507000
4,2,2730,1,76,505000
4,2.5,2430,2,70,490000
3,2.25,1620,2,58,490000
3,1.75,1870,2,78,475000
3,2,1870,2,74,456000
4,2.75,3030,2,62,455000
3,1.75,1540,1,79,450000
3,1.75,1570,1,72,439995
3,1.75,1250,3,72,439000
3,3,1520,3,60,399000
2,2,1170,2,61,393820
2,1,1270,2,65,390000
3,1.75,1400,1,57,389000
5,2.5,2760,1,56,380000
5,1.5,2050,2,56,375000
3,2.5,2490,1,68,370000
4,1,1540,1,78,370000
3,1.75,1830,2,72,360000
5,2.5,2990,2,65,357000
3,1.75,1720,2,52,340000
5,2.75,2166,3,74,326000
3,2.5,1980,2,60,317750
4,1.75,2080,1,67,300000
3,1.75,1810,2,52,299500
4,3,2120,2,57,295000
3,1.75,1260,2,53,289000
2,1,610,1,73,286000
3,1.75,1020,1,57,285000
2,1,1000,1,75,270000
3,2.5,1870,1,62,270000
4,2.5,1820,3,75,265000
3,1.5,1300,2,74,263000
3,2,1610,1,57,259000
3,2.25,1730,3,56,257000
3,1.5,1490,1,76,255000
3,1.5,1180,2,68,250200
3,2.5,1650,2,71,250000
2,2,1360,2,75,222000
4,1.5,1430,3,56,215000
2,1,1000,2,67,207100
4,1,1220,1,66,199000
3,1,1010,3,53,179900
2,1,670,1,69,107000
3,1.5,910,1,74,107000
4,3.5,4860,2,65,2950000
4,2.25,2920,1,50,1650000
4,2.5,4070,2,56,1400000
4,3.5,4190,3,50,1160000
3,1.75,2170,1,70,907000
3,2,2870,1,73,810000
3,2.5,2760,3,76,800000
6,2.5,3250,1,68,779000
4,2.75,3630,3,71,769000
3,2.5,2270,1,75,766000
4,2.5,2460,3,55,693000
5,2.25,2120,3,78,682000
5,3,4180,2,76,673200
4,2.5,2470,1,65,635000
3,1.75,2170,3,74,585000
3,3,1850,2,69,565000
2,2,1370,3,77,548000
4,2.5,2080,2,73,545000
4,2.75,2790,3,58,533380
4,2.5,2770,3,63,533300
3,1.5,1580,3,68,524500
3,1.75,1690,3,67,509900
2,1,1020,3,73,505000
3,1,1160,2,54,501000
3,1.75,2110,1,74,483000
3,1.5,2100,3,63,480000
2,1,870,3,52,475000
4,2.5,3361,3,56,471275
2,2.25,1210,1,74,461100
2,1,1220,1,77,452000
3,1,1200,3,68,438000
3,2,1520,2,68,434900
3,2.25,1700,2,57,419000
4,2.25,2240,2,78,415000
3,1.5,1860,2,71,415000
3,2.5,1890,3,70,409000
4,2.5,2030,3,74,405000
3,2.5,1520,1,73,402000
4,2.5,2398,2,65,400000
3,1.75,1920,3,59,380000
3,2,1860,3,78,370000
3,2.25,1445,3,68,366000
2,1,990,3,54,365000
3,1.75,1410,3,77,365000
5,2.5,2990,3,65,339950
3,1.75,1560,3,56,306000
4,2.5,2340,1,67,290000
3,1.75,1490,1,54,275000
3,2.25,1830,2,73,273000
3,1.5,1370,1,55,264950
3,2,2710,3,79,260000
3,1.75,1670,1,78,260000
3,1.75,1540,1,77,244000
1,1,530,2,67,238000
3,1,1030,3,55,229000
4,1.75,1630,3,80,215000
3,1.75,1260,2,69,194000
3,1,1040,1,60,642000
5,3.25,4100,1,76,890000
5,1.75,1320,2,76,380000
4,2.5,1950,3,54,348450
3,2,3010,3,79,1100000
3,2.25,2580,3,76,898000
4,2.5,1840,3,69,583000
3,2.25,1780,3,63,450000
3,1.5,1050,1,76,438924
3,2.25,1740,1,71,289950
4,3.25,3890,1,70,2950000
4,5,5810,1,62,1880000
4,3.75,4410,2,74,1440000
4,2,2850,1,61,993000
3,1.5,1250,2,78,888000
4,2.25,2410,2,68,883000
4,2,2380,3,63,855000
4,3.25,4110,1,59,825000
4,3.5,3290,2,59,801000
3,3.5,3190,3,68,795000
2,2.5,2390,2,59,787500
5,2.75,3890,2,54,772500
3,1,1640,3,57,750000
3,1.75,1590,1,77,750000
4,2.75,2490,1,57,749500
5,3.5,2790,3,62,738000
4,2.5,3290,1,58,728000
3,2.5,2980,2,76,725000
3,2,1880,3,68,710000
3,1,1750,3,79,707900
4,3.5,3150,2,79,700000
4,3,3150,1,70,680000
4,3,2900,3,50,650000
4,2.25,2720,3,56,645000
3,2.5,1770,2,50,643002
3,2.25,2680,1,53,635000
3,3.5,1730,2,53,635000
4,2.75,2090,3,68,610000
4,2.5,2430,2,78,605000
3,1.5,1680,2,72,572000
3,1.5,1980,2,70,570000
3,2.5,2030,3,71,565000
5,1,1690,3,78,544500
3,2.5,2830,3,53,539000
4,3,2240,1,71,530000
4,2.5,2280,1,57,515000
2,1,930,1,61,500000
3,1,1020,3,72,485000
3,1,960,2,72,477000
3,1.5,2480,3,56,475000
3,1,1140,2,53,460000
3,1.75,1550,2,52,453500
3,1,1270,1,70,447000
3,2.25,1800,1,75,425000
3,1.75,1770,3,63,420000
4,2.5,2890,1,79,416000
3,2.5,1553,1,52,412000
3,2.5,1830,1,73,410000
4,3,2430,3,55,409950
3,2.25,1790,2,66,392000
2,1,840,2,71,389100
3,2.25,1630,2,72,385000
3,1,1540,2,76,384950
3,2.25,1600,2,60,380000
3,2.5,1330,3,50,375000
3,3.25,1410,2,73,358000
4,1,1430,2,60,351000
4,3,3380,1,75,350000
4,2.25,2700,1,62,338150
5,3,1980,2,80,333800
2,1,800,3,59,330000
5,1,1740,3,70,320000
3,1.75,1600,1,77,316500
3,2.5,1320,1,74,300000
3,2,1310,3,67,300000
4,2.5,1780,1,53,296000
3,2.5,1860,1,75,294900
4,1.75,1440,2,77,285000
4,2.75,2170,2,80,275436
3,1.75,1710,2,79,273148
3,1.5,1610,3,77,270000
3,2.5,1480,1,69,269950
2,1,770,3,70,269000
2,1,750,1,61,261000
3,3,1990,2,54,245000
4,1,1610,1,71,235000
3,1,1120,2,56,230000
3,2.5,1520,2,65,207000
4,1,1220,1,74,165000
3,1,840,2,54,105000
4,2.25,4370,2,73,2350000
4,3.25,5370,3,77,1350000
4,3.25,4330,3,63,1210000
4,2.5,3370,3,53,1140000
4,2.5,3030,1,73,998000
5,2.75,3170,2,61,919950
3,2.5,2230,3,59,836500
4,2.5,3320,2,64,813000
4,3,2530,3,78,785950
3,1.75,1990,3,60,779000
3,2.25,2180,3,54,727000
4,2.5,2970,3,77,715000
4,2.75,2710,1,54,710000
4,3,3150,3,50,705000
3,1.75,2600,1,58,700000
5,3.25,3940,3,68,695000
3,1.75,1600,1,72,690000
4,3.5,3770,3,50,665000
3,2.5,2330,3,72,665000
3,1.75,1458,1,66,620000
3,2.5,1980,2,52,615000
3,2.5,2010,2,61,605000
3,2.25,2100,1,71,600000
2,1.75,2470,3,73,597000
4,2.5,1690,2,67,591500
3,2.5,2940,3,51,589000
3,2.5,2250,3,58,589000
4,2.5,3110,3,72,585000
3,1.75,1740,3,69,577000
2,1,1220,2,66,555950
2,1,1510,1,56,549000
3,2.5,1280,3,68,545000
3,2.5,2520,3,51,540000
2,1.25,1230,2,74,540000
3,2,2350,3,60,539000
2,2,1510,3,61,535000
2,2.5,1900,1,69,530000
2,2.25,1430,2,69,522500
4,2.5,2160,1,79,518000
3,2.25,2260,2,74,514000
3,1.5,1360,3,50,499950
3,3,2060,3,56,497000
2,1.5,1920,3,55,495000
2,2.25,1290,1,75,481000
3,2.5,2270,3,76,480000
4,1.5,1380,2,54,477000
4,1,1420,1,75,475000
3,1.5,1480,3,67,475000
3,2.25,1420,1,59,467000
3,2.25,2080,1,75,460000
3,2.5,1690,2,50,449000
3,2.5,2360,3,61,441500
4,1.5,1510,2,56,435000
3,1,1550,3,62,425000
2,1,930,3,58,420000
2,1,880,3,66,415000
3,2.5,3040,1,76,410000
2,1,810,1,60,408000
5,2,2740,1,52,407500
3,2.25,1430,3,54,407000
3,2.25,1180,3,62,400000
3,1,1000,1,75,390000
3,2.25,1450,2,62,382000
3,3.25,1450,3,59,380000
2,1,1010,2,65,375000
4,2.5,2340,1,62,360000
3,2.5,1870,3,80,345000
3,2.5,1620,1,74,345000
4,2.25,2530,2,68,340000
2,1,720,3,72,330000
3,2.25,2020,1,59,328000
4,2.25,1800,1,66,321000
3,2.25,1410,2,76,318000
6,3.5,2120,2,77,317000
1,1,570,1,80,310000
3,2.25,2110,1,77,298700
3,1.75,1360,3,70,296000
3,1.75,1590,2,75,295500
4,3,1730,1,65,265000
4,2,2300,3,74,258750
3,2.5,1730,1,74,258000
3,1,1450,1,70,257000
3,1,1100,1,74,249900
3,2.5,1490,1,57,237000
3,1,1790,2,50,225000
5,4.75,6200,1,75,3300000
4,3.75,4490,1,51,1680000
6,3.25,3750,2,77,1250000
2,3,2330,3,60,1050000
4,4.25,3250,1,75,980000
6,2.25,3830,3,58,887000
6,2.5,3760,1,70,838300
3,2,1750,3,62,808250
4,2.25,2130,3,68,802000
3,2.5,2900,3,73,770000
4,2.5,3300,3,51,765000
4,1.75,2100,3,80,735000
4,2.5,2860,3,80,666500
3,2.5,3000,2,72,666000
3,2,1940,2,63,651000
4,1.75,1550,1,50,645000
3,2.75,2240,2,60,625000
4,3,1540,1,59,624000
5,3.5,3560,2,61,616950
4,1.75,1770,1,60,606150
5,1.75,2980,1,66,575000
4,2.5,3010,3,52,568500
5,3.5,2700,1,53,565000
3,1.75,1480,1,74,560000
3,2.5,2160,1,70,555000
4,3,2670,1,51,550000
4,3.5,3510,1,76,540000
4,2.5,2710,3,61,540000
3,1,1330,1,51,535000
3,1.75,1680,2,60,530000
3,2,3080,1,72,530000
5,1.75,2140,3,77,528000
4,2.25,2330,1,76,527000
4,2.5,2030,3,71,515000
3,1,1180,2,63,507000
3,1.5,1830,3,55,505000
3,2.5,1820,1,62,504500
3,2.5,1610,3,56,499000
3,2.25,1820,1,63,469000
5,3.5,3931,2,76,450000
1,1,850,2,78,440000
4,2.5,1540,1,75,439990
3,2.25,2230,2,60,439000
4,2.5,1970,2,58,438000
3,2,1520,1,66,434900
3,1.75,1540,2,50,433500
3,2,1300,3,63,422500
3,2,1380,3,57,406430
3,1,1180,2,76,383001
3,1.75,1260,3,56,375000
1,1,800,3,65,375000
3,1.75,1310,3,77,373000
4,2.75,2610,2,75,368000
3,2.5,1484,1,56,365000
3,2.75,1420,2,56,362000
3,2.25,1445,3,73,355000
3,2.25,2470,2,56,350000
3,1,1240,1,80,350000
2,1.75,1030,1,72,335000
4,1,1400,3,52,325000
1,1,730,2,51,325000
3,1,1160,3,66,322500
4,2.5,2440,1,66,310000
3,2,1760,3,76,295000
3,1,1440,1,59,285000
5,2.25,2350,2,73,277554
3,1.5,1950,3,65,275000
3,2.25,1650,2,78,266750
4,2.25,2300,3,73,263850
3,2,1310,1,71,240000
5,1,1920,3,79,230000
3,2,1310,1,70,230000
3,2,1760,2,59,229000
4,1.5,1370,3,55,219000
3,1,1220,3,80,201000
1,1,720,3,68,185000
1,1,480,3,71,170000
3,1,1450,1,70,150000
2,1,790,1,70,100000
5,3.75,4220,2,68,1580000
3,3.25,3990,2,65,1500000
3,2.75,2730,1,73,1340000
4,2.75,3410,2,71,1100000
4,3.25,3780,3,73,1030000
4,3.25,3770,1,79,998000
3,3.75,3710,3,73,998000
4,2.5,3420,2,53,975000
6,1,2330,1,72,950000
5,2.5,4150,2,63,930800
4,1.75,2800,1,51,863000
4,2.5,3480,1,74,852500
4,2.75,3130,3,60,835000
3,3.25,3230,3,51,817500
4,4,2680,1,71,777000
5,2.25,3060,3,74,749999
4,2,2050,1,65,740000
3,2.5,2410,3,73,700000
3,3.75,2380,2,60,695000
3,3.25,3080,1,59,695000
4,3,2160,2,55,665000
3,1.5,1540,3,79,659000
4,2.5,2370,1,79,655000
4,2.5,2160,3,56,650000
3,2,1810,3,50,649000
3,2,1650,2,65,643500
3,1.75,1580,1,63,625000
6,3,3030,1,59,624500
3,1.75,1720,1,60,583500
4,2.5,2800,3,67,569500
3,2.25,1700,2,75,565000
3,2.5,2400,2,58,562000
3,3,1330,3,72,552100
3,2.5,1280,2,65,540000
3,1.5,1380,3,59,525000
4,2,2420,1,77,525000
5,2.75,2620,2,78,519000
4,1.75,1520,3,78,508450
4,2.5,2840,3,71,500000
3,2.25,2010,3,64,500000
3,2.5,3110,2,61,485000
6,4.5,2940,3,55,482500
3,1,1860,1,78,460000
3,1.75,1420,1,74,460000
4,1,1700,2,59,456000
5,2.25,3470,3,72,455000
3,2.5,2530,2,66,454000
4,2.5,2425,1,51,447500
3,2.25,2100,3,66,437500
4,2.5,2650,2,77,428400
3,2.25,1450,1,55,419700
2,1,720,1,54,405000
4,2.5,1850,1,76,405000
4,2.5,2120,3,60,403950
6,3,3320,1,60,400000
3,2,1500,2,73,395000
3,2.5,1720,2,61,389000
4,1.75,1830,3,55,383000
2,2,1340,2,59,381000
3,1.75,1330,1,61,375000
4,2.25,1450,3,65,375000
4,1.75,1680,1,79,375000
2,2.25,1100,3,66,374000
4,2.5,2720,1,61,370000
2,2.25,860,3,68,345000
3,1,980,3,72,340000
3,1.75,1410,3,50,307000
3,1,910,2,67,306000
3,2.5,1981,3,58,303700
4,2.5,2200,3,68,299900
3,1.75,1250,3,61,295000
4,2.5,2240,3,62,287500
2,1,910,1,80,280000
4,1.75,2000,1,77,275000
3,2,1380,2,72,275000
3,1,1200,2,68,260000
3,2.5,1440,3,78,260000
3,2.25,1810,3,64,251700
4,2.25,2190,2,72,245000
3,1.5,1580,2,78,233500
2,1,1240,3,54,232000
4,2.5,1700,2,56,215000
3,1.5,1250,3,74,210000
2,1,790,3,66,200000
2,1,770,3,70,180000
3,1,920,2,54,125000
2,1,1560,3,75,724000
2,1.5,1110,2,53,320000
2,1,940,2,62,255000
3,1.75,2090,2,72,248500
2,1,630,1,75,190000
4,1,1790,2,79,401500
3,2.5,1800,2,57,379900
4,3,3330,1,71,1240000
5,3.5,4180,2,75,1020000
